timestamp,open,high,low,close,volume
2025-01-01 00:00:00+00:00,93347.59,94321.25,93281.63,94209.02,337.5816636
2025-01-01 01:00:00+00:00,94207.31,94224.3,93393.06,93423.47,198.57917976
2025-01-01 02:00:00+00:00,93423.48,93894.04,93400.0,93882.09,154.76878758
2025-01-01 03:00:00+00:00,93885.0,93885.0,93524.35,93635.54,127.39107501
2025-01-01 04:00:00+00:00,93635.54,93637.33,93305.54,93358.58,257.39498048
2025-01-01 05:00:00+00:00,93358.33,93708.79,93323.88,93572.8,146.99029101
2025-01-01 06:00:00+00:00,93575.72,93575.73,93354.99,93551.21,138.09883485
2025-01-01 07:00:00+00:00,93551.2,93600.0,93445.59,93478.85,89.10082876
2025-01-01 08:00:00+00:00,93478.85,93564.06,93106.4,93247.38,106.16795861
2025-01-01 09:00:00+00:00,93246.36,93317.84,92743.63,93220.42,206.09784746
2025-01-01 10:00:00+00:00,93222.48,93337.08,93078.18,93124.74,240.44900347
2025-01-01 11:00:00+00:00,93124.75,93498.46,92956.1,93250.79,261.36495835
2025-01-01 12:00:00+00:00,93250.79,93762.6,93172.42,93614.93,264.43976808
2025-01-01 13:00:00+00:00,93614.94,93857.14,93368.07,93821.32,435.55078244
2025-01-01 14:00:00+00:00,93821.33,94239.35,93466.91,93975.58,512.82965468
2025-01-01 15:00:00+00:00,93975.56,94289.0,93695.99,94225.28,394.80186278
2025-01-01 16:00:00+00:00,94212.75,94281.87,93640.87,93877.71,640.32720438
2025-01-01 17:00:00+00:00,93877.7,93971.7,93521.72,93924.22,695.34042973
2025-01-01 18:00:00+00:00,93922.41,94171.91,93682.21,94123.99,349.74446061
2025-01-01 19:00:00+00:00,94119.22,94638.63,93919.14,94434.89,245.30752747
2025-01-01 20:00:00+00:00,94427.86,94673.88,94400.97,94597.57,276.20284489
2025-01-01 21:00:00+00:00,94591.04,94960.91,94500.34,94776.87,252.94125632
2025-01-01 22:00:00+00:00,94775.01,94802.51,94483.3,94595.96,220.07029729
2025-01-01 23:00:00+00:00,94595.97,94751.0,94316.57,94383.59,320.19698435
2025-01-02 00:00:00+00:00,94383.59,95178.57,94177.0,94922.02,417.66751759
2025-01-02 01:00:00+00:00,94922.02,95338.18,94525.89,94676.65,372.58838794
2025-01-02 02:00:00+00:00,94676.65,95054.29,94606.46,95051.34,197.16489668
2025-01-02 03:00:00+00:00,95051.35,95107.39,94726.3,94827.25,122.12781607
2025-01-02 04:00:00+00:00,94832.39,95832.21,94803.6,95532.47,333.50552624
2025-01-02 05:00:00+00:00,95524.62,95625.11,95208.57,95415.55,196.67335315
2025-01-02 06:00:00+00:00,95415.29,95524.07,95184.81,95428.76,122.62590726
2025-01-02 07:00:00+00:00,95437.35,95758.91,95359.0,95691.24,152.22147704
2025-01-02 08:00:00+00:00,95692.21,96071.15,95491.36,95999.88,263.17137937
2025-01-02 09:00:00+00:00,95999.87,96669.06,95895.38,96628.99,274.72209148
2025-01-02 10:00:00+00:00,96621.65,96679.99,96429.68,96607.44,243.78752049
2025-01-02 11:00:00+00:00,96607.43,96774.06,96368.56,96631.02,297.22756377
2025-01-02 12:00:00+00:00,96631.02,96794.56,96503.17,96754.56,268.15195298
2025-01-02 13:00:00+00:00,96754.55,96867.17,96329.16,96358.68,384.84293662
2025-01-02 14:00:00+00:00,96358.67,97295.0,95849.42,97183.21,1383.93692014
2025-01-02 15:00:00+00:00,97175.11,97254.13,96014.86,96362.35,860.20692775
2025-01-02 16:00:00+00:00,96362.35,97583.0,95914.36,97167.0,1126.03971295
2025-01-02 17:00:00+00:00,97165.58,97524.81,96217.3,96665.63,760.13220331
2025-01-02 18:00:00+00:00,96665.63,97282.55,96312.37,97236.28,742.41521023
2025-01-02 19:00:00+00:00,97236.27,97705.05,97100.73,97224.83,742.38249041
2025-01-02 20:00:00+00:00,97224.83,97776.99,97198.11,97209.38,855.4658304
2025-01-02 21:00:00+00:00,97209.37,97261.83,96941.91,97107.8,295.54230669
2025-01-02 22:00:00+00:00,97107.8,97107.8,96633.33,96799.84,285.0446271
2025-01-02 23:00:00+00:00,96798.41,96991.15,96679.98,96903.19,214.82928396
2025-01-03 00:00:00+00:00,96905.48,96990.95,96698.56,96745.67,201.27337941
2025-01-03 01:00:00+00:00,96745.68,96912.9,96550.01,96889.05,175.22956905
2025-01-03 02:00:00+00:00,96889.06,97270.33,96750.37,96886.48,469.04897545
2025-01-03 03:00:00+00:00,96886.49,97013.54,96744.35,96970.54,135.70902981
2025-01-03 04:00:00+00:00,96970.55,96975.92,96680.01,96735.71,118.3574956
2025-01-03 05:00:00+00:00,96738.15,96791.14,96510.01,96677.58,99.06842131
2025-01-03 06:00:00+00:00,96674.27,96842.94,96427.72,96467.96,120.50259097
2025-01-03 07:00:00+00:00,96467.97,96585.23,96202.01,96232.47,194.14239293
2025-01-03 08:00:00+00:00,96232.46,96450.29,96016.63,96044.07,146.44679925
2025-01-03 09:00:00+00:00,96044.07,96627.41,96018.94,96467.56,236.33554005
2025-01-03 10:00:00+00:00,96479.37,96582.86,96320.0,96411.54,71.35252066
2025-01-03 11:00:00+00:00,96411.54,96759.45,96398.23,96679.43,118.56016216
2025-01-03 12:00:00+00:00,96679.43,96870.65,96585.52,96585.53,147.61339884
2025-01-03 13:00:00+00:00,96585.53,96766.18,96401.0,96430.55,195.76704771
2025-01-03 14:00:00+00:00,96429.85,97284.0,96422.84,96957.36,588.64296373
2025-01-03 15:00:00+00:00,96957.37,97612.67,96695.58,97464.8,1041.57908192
2025-01-03 16:00:00+00:00,97458.07,98402.84,97342.97,97804.66,1045.53891783
2025-01-03 17:00:00+00:00,97804.67,98243.07,97769.59,97971.45,549.82348852
2025-01-03 18:00:00+00:00,97976.46,98653.73,97933.23,98490.05,692.62319676
2025-01-03 19:00:00+00:00,98489.44,98969.92,98458.7,98562.77,788.46684086
