symbol,data_days,start_date,end_date,spot_listed_at,perp_listed_at,listing_trade_start,is_listing_censored,avg_volume_usd,corr_zscore_next,return_gross,sharpe_gross,win_gross,dd_gross,return_net,sharpe_net,win_net,dd_net,n_trades,turnover_pct,total_cost
MORPHO,171,2025-10-03,2026-03-22,2025-10-03T00:00:00+00:00,2024-11-27T00:00:00+00:00,2025-10-03T00:00:00+00:00,False,12880655.88858117,-0.1592924940811149,1.2918899736144032,3.2229311854998097,59.23566878980891,-0.3074835668090574,1.2378899736144042,3.0885398259180064,57.961783439490446,-0.3122835668090575,68,43.31210191082803,0.054
KMNO,321,2025-05-06,2026-03-22,2025-05-06T00:00:00+00:00,2024-12-20T00:00:00+00:00,2025-05-06T00:00:00+00:00,False,2800200.268299502,-0.0815236940277092,2.8234708444055037,3.193723869004486,55.048859934853425,-0.2988461002330529,2.7086708444055065,3.065670587696784,55.048859934853425,-0.3044461002330529,144,46.90553745928339,0.1148
TRUMP,428,2025-01-19,2026-03-22,2025-01-19T00:00:00+00:00,2025-01-18T00:00:00+00:00,2025-01-19T00:00:00+00:00,False,149803593.5419265,-0.1104568026044228,3.890711398327461,3.0317563158196568,56.52173913043478,-0.4246131720688044,3.720711398327464,2.89964215709814,56.52173913043478,-0.437413172068803,213,51.44927536231883,0.17
NIL,364,2025-03-24,2026-03-22,2025-03-24T00:00:00+00:00,2025-03-24T00:00:00+00:00,2025-03-24T00:00:00+00:00,False,4980651.830949533,-0.1155062395421648,3.4075890715653463,2.7607378833329377,54.57142857142857,-0.6135566785155766,3.2727890715653496,2.651275828602497,54.285714285714285,-0.629556678515576,169,48.285714285714285,0.1348
SYRUP,320,2025-05-07,2026-03-22,2025-05-06T00:00:00+00:00,2025-05-07T00:00:00+00:00,2025-05-07T00:00:00+00:00,False,13363082.185131531,-0.1002898031502824,2.354979319755391,2.7147083649987356,55.22875816993464,-0.4193902022303547,2.2345793197553956,2.576532174719076,54.90196078431373,-0.4313902022303547,151,49.34640522875817,0.1204
PUMP,193,2025-09-11,2026-03-22,2025-09-11T00:00:00+00:00,2025-07-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,False,50824710.43130868,-0.1015632443046264,1.7126345530817884,2.54065969512416,53.63128491620112,-0.4076396320704528,1.65303455308179,2.451366777312122,53.072625698324025,-0.4164396320704528,75,41.899441340782126,0.0596
VELODROME,465,2024-12-13,2026-03-22,2024-12-13T00:00:00+00:00,2024-12-13T00:00:00+00:00,2024-12-13T00:00:00+00:00,False,3650004.853870632,-0.0671365354362415,3.30084563527196,2.4291088445506133,53.43680709534369,-0.5955660073003494,3.1412456352719644,2.3117865612217163,53.215077605321504,-0.6075660073003497,200,44.345898004434595,0.1596
BARD,186,2025-09-18,2026-03-22,2025-09-18T00:00:00+00:00,2025-09-18T00:00:00+00:00,2025-09-18T00:00:00+00:00,False,14077569.05213145,-0.1010440761673192,1.289528964340144,2.001047742793504,53.48837209302325,-0.4056369193340146,1.2595289643401435,1.956144183017032,53.48837209302325,-0.4059564085046698,38,22.093023255813954,0.03
ERA,249,2025-07-17,2026-03-22,2025-07-17T00:00:00+00:00,2025-07-17T00:00:00+00:00,2025-07-17T00:00:00+00:00,False,22770990.87922843,-0.0319604070159287,1.227472879035684,2.0147853134710427,53.191489361702125,-0.4499468998792353,1.158272879035685,1.9016610621209868,53.191489361702125,-0.4563468998792355,87,37.02127659574468,0.0692
FF,175,2025-09-29,2026-03-22,2025-09-29T00:00:00+00:00,2025-09-29T00:00:00+00:00,2025-09-29T00:00:00+00:00,False,42221537.67065589,-0.1127411868304032,0.9784466010931516,1.9386036799833049,55.27950310559007,-0.3405866487775753,0.9284466010931508,1.839155681228832,54.6583850931677,-0.3405866487775753,63,39.130434782608695,0.05
