date,symbol,sp_close,sp_vol,fu_close,fu_vol,ret1,next_ret,basis,demean_prev_w21,demean_rank,ret1_rank,attack_score,rk,gross_bps,net_bps,pump_next_bps,pump_next_down_rate,pf_bps_ma7,pf_bps_ma14,pf_bps_ma30,pf_bps_ma60,down_rate_ma14,down_rate_ma30
2021-01-22,XTZ,2.9089,21880992.61,2.917,45672155.0,0.1833671399594321,0.08673294480630789,0.0027845577366013867,0.001041854810237189,0.5,0.4473684210526315,0.4842105263157894,1,-867.3294480630789,-875.3294480630789,707.4336784883377,0.16666666666666666,-97.47559696596481,250.49375606426096,356.45886757902593,,0.5119047619047619,0.4666666666666667
2021-01-22,BEL,1.6992,8382597.75,1.7053,20520957.0,0.17906134188837886,-0.009963056353720745,0.0035899246704331417,0.0009211183442008664,0.4821428571428571,0.4122807017543859,0.46118421052631575,2,99.63056353720745,91.63056353720745,707.4336784883377,0.16666666666666666,-97.47559696596481,250.49375606426096,356.45886757902593,,0.5119047619047619,0.4666666666666667
2021-01-23,AAVE,213.304,290322.734,213.996,432515.4,0.12878400261629608,0.23696237312846957,0.0032441960769606162,0.0019423281406953207,0.4642857142857143,0.4298245614035088,0.45394736842105265,1,-2369.6237312846956,-2377.6237312846956,64.61201628659504,0.6666666666666666,14.10603610270024,235.5371012503691,373.17195381280266,,0.5,0.4523809523809524
2021-01-23,BAND,9.6263,3115682.18,9.6609,7666348.2,0.12632033016998134,-0.02613628129884371,0.003594319728244424,0.0016621746992641535,0.4285714285714286,0.4122807017543859,0.4236842105263158,2,261.3628129884371,253.3628129884371,64.61201628659504,0.6666666666666666,14.10603610270024,235.5371012503691,373.17195381280266,,0.5,0.4523809523809524
2021-01-24,SNX,17.5,2674480.342,17.557,4475597.3,0.20097133866885541,-0.11835735034459183,0.0032571428571427775,0.0025179682795152085,0.4821428571428571,0.4298245614035088,0.4664473684210526,1,1183.5735034459183,1175.5735034459183,-875.1986378695277,1.0,-78.78040083460486,271.85085444073036,359.146502107066,,0.48809523809523814,0.4621212121212121
2021-01-24,COMP,250.06,59373.87296,250.35,208210.079,0.21023880885623125,-0.15002995805871777,0.001159721666799936,0.0009489281090368007,0.4107142857142857,0.4473684210526315,0.4217105263157894,2,1500.2995805871776,1492.2995805871776,-875.1986378695277,1.0,-78.78040083460486,271.85085444073036,359.146502107066,,0.48809523809523814,0.4621212121212121
2021-01-25,SOL,3.7038,6791542.33,3.7044,14159404.0,0.018559762435040872,0.0918637296188316,0.0001619957881094913,0.002685344707758517,0.5,0.3771929824561403,0.46315789473684205,1,-918.637296188316,-926.637296188316,303.6531374962276,0.5,-181.85361712894473,266.13654663365975,305.47932210808364,,0.5,0.4855072463768116
2021-01-25,THETA,2.07529,23655913.8,2.0746,26734530.0,0.06526315789473691,0.10185095922105436,-0.0003324836528868907,0.0012613537691048078,0.4642857142857143,0.4298245614035088,0.45394736842105265,2,-1018.5095922105436,-1026.5095922105436,303.6531374962276,0.5,-181.85361712894473,266.13654663365975,305.47932210808364,,0.5,0.4855072463768116
2021-01-26,SOL,4.041,6618303.9,4.0447,19930228.0,0.0918637296188316,-0.09197221054713578,0.0009156149467951919,0.0032840472975887887,0.5,0.3275862068965517,0.44827586206896547,1,919.7221054713578,911.7221054713578,-546.54835023513,0.6666666666666666,-33.493317889652594,251.7386461199772,305.4032310825896,,0.5119047619047619,0.4861111111111111
2021-01-26,1INCH,2.6881,21837127.98,2.6953,48497309.0,0.1450358978716173,-0.07490817348718148,0.002678471783043821,0.0013624510131013219,0.4285714285714286,0.4655172413793104,0.4396551724137931,2,749.0817348718149,741.0817348718149,-546.54835023513,0.6666666666666666,-33.493317889652594,251.7386461199772,305.4032310825896,,0.5119047619047619,0.4861111111111111
2021-01-27,EGLD,53.181,1041063.593,53.381,1106234.3,0.10373418244975618,0.11103201513647187,0.003760741618247172,0.0016172291436002506,0.4642857142857143,0.5,0.475,1,-1110.3201513647186,-1118.3201513647186,769.9777098272798,0.16666666666666666,-154.29795353196505,161.0286622175889,271.32516782988085,,0.5357142857142857,0.49333333333333335
2021-01-27,TRB,31.196,293246.84,31.287,790940.8,0.05574489623755685,0.0523859750055935,0.0029170406462366177,0.0011491377416142294,0.4285714285714286,0.4491525423728814,0.4347457627118644,2,-523.859750055935,-531.859750055935,769.9777098272798,0.16666666666666666,-154.29795353196505,161.0286622175889,271.32516782988085,,0.5357142857142857,0.49333333333333335
2021-01-28,RUNE,3.1607,11624802.58,3.1715,17748634.0,0.2520726411369918,0.14929843922434172,0.003416964596450199,0.003389811256834165,0.4821428571428571,0.48305084745762716,0.48241525423728815,1,-1492.9843922434172,-1500.9843922434172,908.708672670594,0.16666666666666666,146.98679707958613,118.26135175867287,290.50411175285774,,0.5357142857142857,0.4807692307692308
2021-01-28,CRV,2.08,37953063.86,2.085,49837448.3,0.15002757859900728,-0.018225419664268494,0.0024038461538461024,0.002770406849475668,0.4464285714285714,0.2966101694915254,0.40148305084745756,2,182.25419664268495,174.25419664268495,908.708672670594,0.16666666666666666,146.98679707958613,118.26135175867287,290.50411175285774,,0.5357142857142857,0.4807692307692308
2021-01-29,RUNE,3.6329,7424798.28,3.645,12465967.0,0.14929843922434172,0.0683127572016462,0.0033306724655234724,0.003254868028038329,0.4642857142857143,0.4661016949152542,0.4648305084745763,1,-683.1275720164621,-691.1275720164621,-320.2041007876194,0.5,190.37688952348233,46.45064627875876,313.40057697203315,,0.5238095238095238,0.4691358024691358
2021-01-29,1INCH,3.3511,22150621.36,3.3643,29658288.0,0.07788671023965144,0.36432541687721054,0.003939005102802029,0.0032942858056999712,0.4821428571428571,0.364406779661017,0.44682203389830505,2,-3643.2541687721055,-3651.2541687721055,-320.2041007876194,0.5,190.37688952348233,46.45064627875876,313.40057697203315,,0.5238095238095238,0.4691358024691358
2021-01-30,SOL,4.228,3944655.04,4.2462,10740707.0,0.10552214324767628,0.003909377796618152,0.004304635761589455,0.004267608486933486,0.4642857142857143,0.364406779661017,0.4343220338983051,1,-39.09377796618152,-47.09377796618152,511.89988442231993,0.5,43.57149248405988,28.83876429338007,290.77183848061696,,0.5119047619047619,0.47023809523809523
