date,ADA,AVAX,BNB,BTC,DOGE,ETH,LINK,SOL,XRP,btc_ma200,btc_ma200_gap,btc_ma200_gap_ma7,ethbtc,ethbtc_ma180,ethbtc_gap,ethbtc_ret90,ethbtc_gap_ma7,ethbtc_ret90_ma7,solbtc,solbtc_ma180,solbtc_gap,solbtc_ret90,solbtc_gap_ma7,solbtc_ret90_ma7,xrpbtc,xrpbtc_ma180,xrpbtc_gap,xrpbtc_ret90,xrpbtc_gap_ma7,xrpbtc_ret90_ma7,dogebtc,dogebtc_ma180,dogebtc_gap,dogebtc_ret90,dogebtc_gap_ma7,dogebtc_ret90_ma7,bnbbtc,bnbbtc_ma180,bnbbtc_gap,bnbbtc_ret90,bnbbtc_gap_ma7,bnbbtc_ret90_ma7,adabtc,adabtc_ma180,adabtc_gap,adabtc_ret90,adabtc_gap_ma7,adabtc_ret90_ma7,avaxbtc,avaxbtc_ma180,avaxbtc_gap,avaxbtc_ret90,avaxbtc_gap_ma7,avaxbtc_ret90_ma7,linkbtc,linkbtc_ma180,linkbtc_gap,linkbtc_ret90,linkbtc_gap_ma7,linkbtc_ret90_ma7
2021-01-01,0.17517,3.6541,37.795,29337.16,0.00568,729.77,11.869,1.8382,0.2377,,,,0.024875277634235898,,,,,,6.265773510455682e-05,,,,,,8.102352102248479e-06,,,,,,1.93611106187511e-07,,,,,,0.001288297844781158,,,,,,5.9709256110680105e-06,,,,,,0.00012455534209855352,,,,,,0.0004045722217147127,,,,,
2021-01-02,0.17759,3.505,38.271,32199.91,0.010542,775.02,12.226,1.7976,0.221,,,,0.024069011373013153,,,,,,5.582624299260464e-05,,,,,,6.863373220608381e-06,,,,,,3.273922194192468e-07,,,,,,0.0011885436946873454,,,,,,5.515232806551323e-06,,,,,,0.00010885123591960349,,,,,,0.00037969050224053423,,,,,
2021-01-03,0.2067,3.4907,41.3,33054.53,0.009877,980.24,13.719,2.1767,0.2265,,,,0.029655239387763193,,,,,,6.585179096480875e-05,,,,,,6.8523134348000114e-06,,,,,,2.9880927062039606e-07,,,,,,0.0012494505291710395,,,,,,6.253303253744646e-06,,,,,,0.00010560428479848299,,,,,,0.0004150414481766947,,,,,
2021-01-04,0.22524,3.6036,41.142,32031.07,0.009796,1043.11,13.611,2.4832,0.2361,,,,0.03256556836846224,,,,,,7.752472833408313e-05,,,,,,7.370968250514267e-06,,,,,,3.058280600679278e-07,,,,,,0.0012844403886601353,,,,,,7.031922442803191e-06,,,,,,0.00011250326635981877,,,,,,0.0004249311683936878,,,,,
2021-01-05,0.2585,4.2626,41.799,33999.52,0.01,1101.29,14.531,2.1355,0.2258,,,,0.032391339642442014,,,,,,6.280971025473301e-05,,,,,,6.641270229697361e-06,,,,,,2.9412179936657935e-07,,,,,,0.0012293997091723649,,,,,,7.603048513626076e-06,,,,,,0.0001253723581979981,,,,,,0.00042738838665957644,,,,,
2021-01-06,0.3331,4.5808,42.288,36823.68,0.010468,1212.64,17.29,1.8753,0.2489,,,,0.03293098354102578,,,,,,5.092646905469524e-05,,,,,,6.759237534108487e-06,,,,,,2.8427359785876913e-07,,,,,,0.0011483914698368007,,,,,,9.045809652918992e-06,,,,,,0.00012439821332360047,,,,,,0.0004695348210716582,,,,,
2021-01-07,0.29961,4.4722,43.57,39498.92,0.009767,1227.12,15.989,2.3651,0.3243,,,,0.031067178545641245,,,,,,5.987758652641642e-05,,,,,,8.210351067826664e-06,,,,,,2.4727258365545185e-07,,,,,,0.0011030681345211464,,,,,,7.5852706858820445e-06,,,,,,0.00011322334889156463,,,,,,0.0004047958779632456,,,,,
2021-01-08,0.30429,5.7084,42.394,40637.23,0.009755,1218.39,15.251,3.222,0.3206,,,,0.029982112461897626,,,,,,7.92869002144093e-05,,,,,,7.88931725907499e-06,,,,,,2.4005081054983324e-07,,,,,,0.0010432305548385063,,,,,,7.487961162707202e-06,,,,,,0.00014047217293107822,,,,,,0.00037529624927683307,,,,,
2021-01-09,0.3312,7.1895,43.907,40136.04,0.010202,1279.96,17.589,3.3776,0.3247,,,,0.031890540272533116,,,,,,8.415379295017645e-05,,,,,,8.089985957757666e-06,,,,,,2.5418551506326977e-07,,,,,,0.001093954460878552,,,,,,8.251935168491959e-06,,,,,,0.00017912828470372262,,,,,,0.00043823456424699593,,,,,
2021-01-10,0.30187,6.5449,42.399,38221.67,0.009841,1257.96,16.228,3.446,0.3152,,,,0.032912219691081004,,,,,,9.015827932165184e-05,,,,,,8.246630772543429e-06,,,,,,2.574717431237306e-07,,,,,,0.0011092921894830866,,,,,,7.89787573384418e-06,,,,,,0.00017123532278940195,,,,,,0.00042457590157625246,,,,,
2021-01-11,0.27584,6.4571,38.104,35408.46,0.008801,1086.94,14.657,3.0988,0.2877,,,,0.03069718366740604,,,,,,8.751580836896042e-05,,,,,,8.12517686451204e-06,,,,,,2.4855641843785354e-07,,,,,,0.0010761270046762835,,,,,,7.790228662867575e-06,,,,,,0.00018236037376378412,,,,,,0.0004139406232295898,,,,,
2021-01-12,0.28929,7.7118,38.275,34056.9,0.008067,1050.82,13.982,3.6276,0.2928,,,,0.030854834115847298,,,,,,0.00010651586022215762,,,,,,8.597376743038856e-06,,,,,,2.368682998158963e-07,,,,,,0.001123854490573129,,,,,,8.494313927574147e-06,,,,,,0.0002264386952423738,,,,,,0.0004105482295804961,,,,,
2021-01-13,0.31246,8.4617,40.192,37421.07,0.008675,1130.4,15.952,3.5291,0.3059,,,,0.03020758091631266,,,,,,9.430783245909324e-05,,,,,,8.174539103237829e-06,,,,,,2.318212707439953e-07,,,,,,0.0010740473214688943,,,,,,8.349841412872481e-06,,,,,,0.0002261212733895637,,,,,,0.0004262839090384107,,,,,
2021-01-14,0.3124,9.3204,41.911,39163.31,0.009419,1234.86,18.023,3.2949,0.297,,,,0.031531042702978886,,,,,,8.413231670152498e-05,,,,,,7.583628656515499e-06,,,,,,2.4050571823474576e-07,,,,,,0.0010701598000781856,,,,,,7.9768538461126e-06,,,,,,0.00023798805565719547,,,,,,0.0004602011423447099,,,,,
