date,symbol,sp_close,sp_vol,fu_close,fu_vol,basis,ret1,next_ret_close_close,demean_prev_w21,demean_rank,ret1_rank,score,BTC,solbtc_gap,solbtc_gap_lag1,rank,signal_date,entry_date,exit_date,gross_close_close_bps,net_close_close_bps,entry_open,entry_day_high,entry_day_low,exit_close,entry_day_volume,open_close_ret,gross_open_close_bps,net_open_close_bps,mae_close_entry_pct,mae_open_entry_pct,mfe_open_entry_pct,funding_bps,funding_points,net_close_close_funding_bps,net_open_close_funding_bps
2022-01-22,LPT,23.81,228920.99,23.83,879774.9,0.0008399832003359754,-0.04015789261690916,0.02274443978178775,0.0010357042442772951,0.4882352941176471,0.4651162790697675,0.48129958960328323,35043.73,-0.09731291367169548,0.035261892673567496,1,2022-01-22,2022-01-23,2022-01-23,-227.4443978178775,-235.4443978178775,23.834,26.212,23.166,24.372,906880.4,0.02257279516656885,-225.7279516656885,-233.7279516656885,0.09995803608896359,0.09977343291096763,0.028027188050683827,-3.3302,3,-238.7745978178775,-237.05815166568848
2022-01-22,BNB,358.3,2635609.386,358.34,3012172.61,0.00011163829193403187,-0.06577678129155051,0.07124518613607189,0.0008115880939554811,0.4529411764705882,0.32558139534883723,0.4147332421340629,35043.73,-0.09731291367169548,0.035261892673567496,2,2022-01-22,2022-01-23,2022-01-23,-712.4518613607189,-720.4518613607189,358.33,388.97,356.18,383.87,1910787.44,0.07127508162866647,-712.7508162866648,-720.7508162866648,0.08547747948875384,0.08550777216532257,0.006000055814472605,-1.2949000000000002,3,-721.7467613607189,-722.0457162866647
2022-01-23,AXS,54.72,725139.1,54.67,3488509.0,-0.0009137426900584277,0.09208949260886934,-0.06548381196268516,0.0007066403528523395,0.4529411764705882,0.4418604651162791,0.44961696306429544,36230.01,-0.08219253754911093,-0.09731291367169548,1,2022-01-23,2022-01-24,2022-01-24,654.8381196268516,646.8381196268516,54.65,54.67,44.28,51.09,6299404.0,-0.06514181152790477,651.4181152790477,643.4181152790477,0.0,0.00036596523330278963,0.1897529734675205,-32.1944,3,614.6437196268516,611.2237152790477
2022-01-23,STORJ,1.0921,2104003.0,1.0939,30341309.0,0.0016482007142203312,0.055989960420889995,-0.06755644940122507,0.0031533368705790434,0.5,0.2790697674418605,0.43372093023255814,36230.01,-0.08219253754911093,-0.09731291367169548,2,2022-01-23,2022-01-24,2022-01-24,675.5644940122507,667.5644940122507,1.093,1.0975,0.9211,1.02,37321498.0,-0.06678865507776754,667.8865507776754,659.8865507776754,0.0032909772374072332,0.004117108874656772,0.15727355901189377,-19.4342,3,648.1302940122507,640.4523507776754
2022-01-24,TRB,18.9,138757.9,18.92,1024322.4,0.0010582010582012237,-0.02724935732647804,0.006342494714587588,0.001393505417167169,0.4764705882352941,0.32558139534883723,0.431203830369357,36648.31,-0.16665136768656186,-0.08219253754911093,1,2022-01-24,2022-01-25,2022-01-25,-63.424947145875876,-71.42494714587588,18.91,19.53,18.26,19.04,746334.6,0.00687466948704385,-68.74669487043849,-76.74669487043849,0.03224101479915431,0.032786885245901676,0.03437334743521936,3.0000000000000004,3,-68.42494714587588,-73.74669487043849
2022-01-24,ARPA,0.05571,51357673.6,0.05573,270814024.0,0.0003590019745108452,-0.02943225357018453,0.01507267181051497,0.0010318551912527447,0.4647058823529412,0.2558139534883721,0.4020383036935704,36648.31,-0.16665136768656186,-0.08219253754911093,2,2022-01-24,2022-01-25,2022-01-25,-150.7267181051497,-158.7267181051497,0.05571,0.05729,0.05391,0.05657,164980021.0,0.015437084903966891,-154.3708490396689,-162.3708490396689,0.027992104790956374,0.02836115598635791,0.03231017770597744,1.7065,3,-157.0202181051497,-160.6643490396689
2022-01-25,PEOPLE,0.04,488979087.3,0.04006,4204973474.0,0.0014999999999999389,0.06798187150093304,0.09311033449825268,0.0018295893665475856,0.5,0.4418604651162791,0.4825581395348837,36934.26,-0.15167338619786053,-0.16665136768656186,1,2022-01-25,2022-01-26,2022-01-26,-931.1033449825268,-939.1033449825268,0.04004,0.04852,0.03822,0.04379,5655670491.0,0.09365634365634379,-936.5634365634379,-944.5634365634379,0.21118322516225674,0.21178821178821172,0.045454545454545525,-1.2609000000000001,3,-940.3642449825268,-945.8243365634379
2022-01-25,MASK,5.536,967240.3,5.54,5833515.0,0.000722543352601237,0.05423406279733589,0.020577617328519926,0.0012915279632073015,0.4764705882352941,0.37209302325581395,0.44515731874145004,36934.26,-0.15167338619786053,-0.16665136768656186,2,2022-01-25,2022-01-26,2022-01-26,-205.77617328519926,-213.77617328519926,5.539,6.299,5.448,5.654,7182197.0,0.020761870373713798,-207.618703737138,-215.618703737138,0.13700361010830342,0.13720888246975993,0.016428958295721108,3.0000000000000004,3,-210.77617328519926,-212.618703737138
2022-01-26,ENS,16.98,1853461.53,16.997,4927529.8,0.0010011778563014993,0.028438313063471776,-0.011590280637759576,0.001574957681098058,0.4764705882352941,0.2790697674418605,0.417250341997264,36787.43,-0.17327226062306145,-0.15167338619786053,1,2022-01-26,2022-01-27,2022-01-27,115.90280637759575,107.90280637759575,17.0,17.374,15.772,16.8,1621331.1,-0.0117647058823529,117.647058823529,109.647058823529,0.02218038477378359,0.02200000000000002,0.07223529411764706,-4.0564,3,103.84640637759576,105.590658823529
2022-01-26,ZEN,36.65,453638.31,36.661,1439593.7,0.0003001364256480978,0.04967645879860272,0.002018493767218521,0.0010162127705606932,0.4294117647058824,0.38372093023255816,0.4157045143638851,36787.43,-0.17327226062306145,-0.15167338619786053,2,2022-01-26,2022-01-27,2022-01-27,-20.18493767218521,-28.18493767218521,36.659,38.63,34.147,36.735,1450054.1,0.0020731607517936457,-20.731607517936457,-28.731607517936457,0.05370830037369423,0.05376578739190929,0.06852341853296595,2.7567,3,-25.42823767218521,-25.974907517936458
