timestamp,binance_open,funding_rate,fr_lagged,signal,position,funding_ret,strategy_ret,equity
2022-01-01 00:00:00+00:00,46210.57,0.0001,,0.0,0.0,-0.0,0.0,1.0
2022-01-01 01:00:00+00:00,46650.0,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 02:00:00+00:00,46767.44,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 03:00:00+00:00,46796.15,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 04:00:00+00:00,46789.55,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 05:00:00+00:00,46690.81,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 06:00:00+00:00,47184.19,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 07:00:00+00:00,46972.19,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 08:00:00+00:00,47186.83,0.0001,0.0001,0.0,0.0,-0.0,-0.0,1.0
2022-01-01 09:00:00+00:00,47118.78,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 10:00:00+00:00,47137.01,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 11:00:00+00:00,46867.57,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 12:00:00+00:00,46755.01,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 13:00:00+00:00,47062.37,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 14:00:00+00:00,47005.55,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 15:00:00+00:00,46909.2,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 16:00:00+00:00,47194.77,0.0001,0.0001,0.0,0.0,-0.0,0.0,1.0
2022-01-01 17:00:00+00:00,47250.0,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 18:00:00+00:00,47733.16,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 19:00:00+00:00,47546.74,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 20:00:00+00:00,47326.99,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 21:00:00+00:00,47385.21,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 22:00:00+00:00,47322.19,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-01 23:00:00+00:00,47428.17,0.0001,0.0001,0.0,0.0,0.0,0.0,1.0
2022-01-02 00:00:00+00:00,47704.35,0.0001,0.0001,0.0,0.0,-0.0,-0.0,1.0
