date,symbol,signal,zscore,perp_ror,pnl_gross,pnl_net,cost,cum_gross,cum_net,position_flip,event_day,listing_trade_start,is_listing_censored,cum_net_event
2025-10-06 00:00:00+00:00,0G,-1.0,0.6558428725230463,0.0612791101842198,-0.0612791101842198,-0.0616791101842198,0.0004,-0.0612791101842198,-0.0616791101842198,1,14,2025-09-22 00:00:00+00:00,False,-0.0616791101842198
2025-10-07 00:00:00+00:00,0G,-1.0,0.7874203067518974,-0.0686470376314152,0.0686470376314152,0.0686470376314152,0.0,0.0073679274471953,0.0069679274471953,0,15,2025-09-22 00:00:00+00:00,False,0.0069679274471954045
2025-10-08 00:00:00+00:00,0G,-1.0,0.850345655210329,-0.0199036466575236,0.0199036466575236,0.0199036466575236,0.0,0.027271574104719,0.026871574104719,0,16,2025-09-22 00:00:00+00:00,False,0.026871574104719003
2025-10-09 00:00:00+00:00,0G,-1.0,0.8721165666786437,-0.0690682070969826,0.0690682070969826,0.0690682070969826,0.0,0.0963397812017017,0.0959397812017017,0,17,2025-09-22 00:00:00+00:00,False,0.0959397812017016
2025-10-10 00:00:00+00:00,0G,-1.0,0.5454953883380549,-0.1753256764048407,0.1753256764048407,0.1753256764048407,0.0,0.2716654576065425,0.2712654576065424,0,18,2025-09-22 00:00:00+00:00,False,0.2712654576065423
2025-10-11 00:00:00+00:00,0G,-1.0,0.6906121629820918,0.01635743328504,-0.01635743328504,-0.01635743328504,0.0,0.2553080243215024,0.2549080243215024,0,19,2025-09-22 00:00:00+00:00,False,0.2549080243215023
2025-10-12 00:00:00+00:00,0G,-1.0,-0.7271039823279489,0.045891387317791,-0.045891387317791,-0.045891387317791,0.0,0.2094166370037113,0.2090166370037113,0,20,2025-09-22 00:00:00+00:00,False,0.20901663700371131
2025-10-13 00:00:00+00:00,0G,1.0,1.317582136466704,0.0340294570235215,0.0340294570235215,0.0332294570235215,0.0008,0.2434460940272329,0.2422460940272329,1,21,2025-09-22 00:00:00+00:00,False,0.2422460940272328
2025-10-14 00:00:00+00:00,0G,-1.0,0.326518172658138,-0.0694757430162847,0.0694757430162847,0.0686757430162847,0.0008,0.3129218370435177,0.3109218370435177,1,22,2025-09-22 00:00:00+00:00,False,0.3109218370435175
2025-10-15 00:00:00+00:00,0G,-1.0,0.52224096240941,-0.0716015535755082,0.0716015535755082,0.0716015535755082,0.0,0.3845233906190259,0.3825233906190259,0,23,2025-09-22 00:00:00+00:00,False,0.3825233906190257
2025-10-16 00:00:00+00:00,0G,-1.0,0.6621589554239364,-0.036519342454966,0.036519342454966,0.036519342454966,0.0,0.421042733073992,0.419042733073992,0,24,2025-09-22 00:00:00+00:00,False,0.4190427330739917
