event_day,n_symbols,median,mean,q10,q25,q75,q90
14,362,0.0076150066757041,0.00563295782801393,-0.09520225357560011,-0.0371053973158027,0.05690402253435113,0.11306374047447638
15,362,0.007330387929643403,0.0008467547279532742,-0.14199112573068476,-0.07039715440053755,0.07536431444381432,0.145737575093385
16,362,0.017432147751573097,0.012821025763998151,-0.16472529254157459,-0.06531251870053813,0.09110235194327138,0.20242946921264285
17,362,0.030052737379914547,0.018514420796358188,-0.17767113241004234,-0.06701558505316109,0.11728953986286295,0.2162473282653403
18,362,0.02604596453284795,0.02590322584212804,-0.17696758511320995,-0.06710972133034802,0.13627510698602188,0.257708563774606
19,362,0.0400366721127956,0.03309268398208913,-0.18256275668051114,-0.061930966361088524,0.15576361380201778,0.2780923599879914
20,362,0.03597812054499035,0.03441697502820534,-0.20425328354100244,-0.07515615000738173,0.16160573699564346,0.29568297507101676
21,362,0.04854984117292816,0.03190984345680358,-0.2628432437960057,-0.08665797722913958,0.18269404083827426,0.31303002972848104
22,362,0.043501047247619704,0.0363395443911718,-0.2737474110060488,-0.10424957540296534,0.1938153659583849,0.34208359402943395
23,362,0.04279741627768664,0.03929633527427204,-0.2755366830769551,-0.10384857023947917,0.20702451867627128,0.3757455252405385
24,362,0.0415966568083925,0.041470811751482727,-0.2848158503048164,-0.117129479292151,0.20298736795403002,0.39340222451126233
25,362,0.04522295408733215,0.04172295129364005,-0.2827794682576375,-0.11830508798128736,0.19335023541994462,0.4136354811020721
26,362,0.0350572131006091,0.037954390321438734,-0.3096389031682375,-0.13296938720278628,0.21532214475988753,0.4135164500159247
27,362,0.0419037285593965,0.034755143870100424,-0.36970474948282994,-0.14113927183202613,0.21434402962561686,0.44101205595618875
28,362,0.04669405404567449,0.04248087397584262,-0.3817394537511301,-0.1471421777593654,0.2327206019179443,0.4271527277668394
29,362,0.046197283976141854,0.04840775613926636,-0.3727052199522206,-0.14088247572386803,0.2616124339820802,0.4608448673283338
30,362,0.03766482451105785,0.043102151823697345,-0.36698605150646607,-0.1491815320978035,0.25062359236266707,0.438079021379873
31,362,0.0403423793235745,0.045030238400533114,-0.362880536586786,-0.16551364320572834,0.26434751584120725,0.45628096535773055
32,362,0.03389571673789654,0.04368963684163885,-0.3892442290906898,-0.17513448144761842,0.25944374901644673,0.4807467110064024
33,362,0.043492504796505946,0.04238710785607775,-0.42298821936750747,-0.1827412007944554,0.2648150722213104,0.5027892378418466
34,362,0.04413922274935546,0.03831457933140074,-0.4492633528567317,-0.1649980066128253,0.26205317199922845,0.4818748581234432
35,362,0.05781562653599101,0.04125072078664552,-0.4259733872382761,-0.162251834687451,0.2673146650108959,0.5034091663122853
36,362,0.04794435469842402,0.04321105576795751,-0.4597965172306081,-0.15470501329355926,0.2710038065138548,0.5385754125654587
37,362,0.0568061161004491,0.04246361542208086,-0.4850357610889122,-0.17049180213419762,0.28065375713452567,0.5269326080487334
38,362,0.07354380844411154,0.04734622241744724,-0.486485741235007,-0.171959211464622,0.2819342438098382,0.538773770269683
39,362,0.06215064301704309,0.05729958833816606,-0.4547945642511857,-0.17933734621977326,0.3145958838402895,0.5625554205932227
40,362,0.056254476817340256,0.04822223924929978,-0.4999846542032018,-0.17974285700915638,0.32177696800897654,0.5329773642287416
41,362,0.053744926557107955,0.04930788866440409,-0.5061670079551791,-0.19757189396538477,0.325358869950609,0.5551117904138709
42,362,0.05371418445003681,0.06327138453126671,-0.47496199457514243,-0.1768288260835319,0.33150007040377993,0.568325935262972
43,362,0.0643618043637961,0.06637109079287534,-0.5103889276247204,-0.17821832781687583,0.3303342350704688,0.592942186655962
44,362,0.04782741112889983,0.063823485601794,-0.539988872650139,-0.18754623639696638,0.3590970069631566,0.5864950899976786
45,362,0.05269806808606844,0.058878051173407185,-0.5302737498757438,-0.19742836327259364,0.34692447134382487,0.5927332357829418
46,362,0.04508792132954434,0.059607186546651404,-0.5384305566861808,-0.18610915482209567,0.33878970330071745,0.6014238168377198
47,362,0.04875510477547919,0.06279189213745043,-0.5365999599625887,-0.21534916410371316,0.3447519826187473,0.6286448448612293
48,362,0.0655150860032958,0.06716972123212205,-0.5398731453171496,-0.25132425094835126,0.3525885014467312,0.6419456280025393
49,362,0.06789254798217845,0.07025995464141314,-0.5759805368441724,-0.25574802141871417,0.35547664234524845,0.6436686380393024
50,362,0.05972375205908502,0.07829264461036567,-0.5133792925367138,-0.23050614378706913,0.39740056636987847,0.6716888860227089
51,362,0.05545327105758146,0.08711512654789545,-0.5128415043167222,-0.21091876021015757,0.37753679961498066,0.67301788364773
52,362,0.0774582451028646,0.09512555727637259,-0.5301353310218374,-0.201076146020071,0.3791173271866592,0.68538624354343
53,362,0.08054954498856187,0.08291919629481094,-0.5759930472500322,-0.21366948242020986,0.3696968532237891,0.6834942188210575
54,362,0.06979326039652169,0.06558752789913523,-0.6084765568566046,-0.23182609196581253,0.35749314845199986,0.6747183812359548
55,362,0.08311381048130971,0.07277172821034569,-0.6053248619139703,-0.22753216048667704,0.3864768155952644,0.6717260837935838
56,362,0.07345176289085438,0.06966472025353092,-0.6427524825343537,-0.24795065897852253,0.37607478551905404,0.698725532808152
57,362,0.06269272924744332,0.07030594058167543,-0.6276974001465375,-0.243906256186605,0.39725854507230096,0.7084586377895884
58,362,0.0726341840390534,0.07321230905629819,-0.6034496789962129,-0.23849686576110402,0.39687468111661883,0.7213502278336393
59,362,0.06621689332093726,0.06792653501008605,-0.6132025227532045,-0.2597229416890109,0.41098770860442596,0.734974209028414
