symbol,window,is_listing_censored,obs,mean_pnl,std_pnl,return_net,sharpe_net,full_30_obs
0G,14-29,False,16,0.02358438328105732,0.06298031456498725,0.3773501324969171,,False
0G,30-59,False,30,0.015855909026266927,0.10513706148981208,0.4756772707880078,2.8812553091392483,True
0G,60-89,False,30,-0.009597048187908552,0.044981983818649214,-0.28791144563725657,-4.0761063123403485,True
0G,90-119,False,30,-0.009792081952199707,0.06325873733403288,-0.2937624585659912,-2.9573379252237046,True
0G,120-149,False,30,-0.004001103281177804,0.10092916391021595,-0.12003309843533412,-0.7573724768341199,True
0G,150-179,False,30,-0.002622666960775047,0.03230925332922362,-0.07868000882325141,-1.550824509028386,True
1000CAT,14-29,False,16,0.006027470183148588,0.06031598411212367,0.09643952293037741,,False
1000CAT,30-59,False,30,0.023967198739611718,0.11269098421474048,0.7190159621883515,4.0632592942543795,True
1000CAT,60-89,False,30,0.003968338299412011,0.07203981745264065,0.11905014898236033,1.0524040653992277,True
1000CAT,90-119,False,30,0.01038150028590407,0.06652474166925045,0.3114450085771221,2.9814213403459635,True
1000CAT,120-149,False,30,-0.018793958944156683,0.11498776441755099,-0.5638187683247005,-3.122576417502451,True
1000CAT,150-179,False,30,-0.0006456602348179373,0.06753067813154716,-0.01936980704453812,-0.1826624847752449,True
1000CHEEMS,14-29,False,16,0.01989988889369987,0.06267862887721681,0.3183982222991979,,False
1000CHEEMS,30-59,False,30,0.014987417683070417,0.08434161090712033,0.44962253049211254,3.3949341222098433,True
1000CHEEMS,60-89,False,30,-0.009934601672833493,0.06289650560516763,-0.2980380501850048,-3.0176604667153044,True
1000CHEEMS,90-119,False,30,0.009102266068633073,0.03486436371424899,0.2730679820589922,4.987859537436906,True
1000CHEEMS,120-149,False,30,0.003972127805568816,0.03134267959295,0.11916383416706448,2.421215931656251,True
1000CHEEMS,150-179,False,30,-0.010819050305651718,0.03314922442964337,-0.3245715091695515,-6.235369587671795,True
1000SATS,14-29,False,16,0.009655477764949013,0.05296749394947633,0.1544876442391842,,False
1000SATS,30-59,False,30,-0.0007594354009363802,0.07400519158816736,-0.022783062028091404,-0.19605371800709628,True
1000SATS,60-89,False,30,0.016940544312384676,0.06794309402028428,0.5082163293715403,4.763525260619396,True
1000SATS,90-119,False,30,-0.0061496530093141984,0.06360145442172331,-0.18448959027942596,-1.8472683815791069,True
1000SATS,120-149,False,30,0.02303665468704029,0.09964853749651513,0.6910996406112087,4.41666963594425,True
1000SATS,150-179,False,30,0.011399128565697494,0.050741658222999725,0.3419738569709248,4.291937888661702,True
1INCH,14-29,True,16,0.04351337219362036,0.14294477411885131,0.6962139550979257,,False
1INCH,30-59,True,30,-0.03716111850982791,0.09957480276650921,-1.1148335552948372,-7.129938021881329,True
1INCH,60-89,True,30,-2.5604290613613402e-05,0.0688251195218323,-0.0007681287184084021,-0.007107423695372016,True
1INCH,90-119,True,30,-0.012194545705586892,0.08029059516320168,-0.36583637116760676,-2.9016657319256005,True
1INCH,120-149,True,30,0.012303815012142564,0.1309220084069719,0.3691144503642769,1.7954510369320225,True
1INCH,150-179,True,30,0.02592909723062325,0.0922792029548961,0.7778729169186975,5.368216143710048,True
1MBABYDOGE,14-29,False,16,-0.003964498805288488,0.09505087261656626,-0.06343198088461581,,False
1MBABYDOGE,30-59,False,30,-0.00799533460249821,0.07627612834762021,-0.23986003807494632,-2.0026010288052056,True
1MBABYDOGE,60-89,False,30,0.03690423307392077,0.15698164898064743,1.107126992217623,4.491317217538274,True
1MBABYDOGE,90-119,False,30,-0.007191854423885684,0.04816663080479303,-0.2157556327165705,-2.852601137920577,True
1MBABYDOGE,120-149,False,30,-0.001676583358177805,0.08062557926956651,-0.05029750074533415,-0.39728185983976577,True
1MBABYDOGE,150-179,False,30,0.002976693440041319,0.06114258069642573,0.08930080320123956,0.9301152760166599,True
2Z,14-29,False,16,-0.006580156592632256,0.06393791864682936,-0.1052825054821161,,False
2Z,30-59,False,30,-0.010111594657583212,0.06980126464872288,-0.30334783972749635,-2.767596628186766,True
2Z,60-89,False,30,-0.005011705885731825,0.05109305954227376,-0.15035117657195474,-1.874002210151139,True
2Z,90-119,False,30,0.00281116803366076,0.04929048826744798,0.08433504100982281,1.0896075847495708,True
2Z,120-149,False,30,0.013578758266240453,0.055541267888327146,0.4073627479872136,4.6707938490299865,True
2Z,150-179,False,22,-0.01052053262127859,0.026582025616369426,-0.231451717668129,-7.561293349580398,False
A,14-29,False,16,0.009457736560792136,0.04210968719008649,0.15132378497267418,,False
A,30-59,False,30,-0.0077041887884470705,0.025160495314820244,-0.2311256636534121,-5.849977049068529,True
A,60-89,False,30,0.00261403320035917,0.035629456093626985,0.07842099601077511,1.4016782641584902,True
A,90-119,False,30,0.0005448318370210036,0.02691846517615848,0.016344955110630107,0.3866861488129098,True
A,120-149,False,30,-0.010548567799029558,0.06926074905677572,-0.31645703397088676,-2.9097303678466377,True
A,150-179,False,30,0.007628090292325554,0.049122816709550036,0.22884270876976662,2.966736644389889,True
A2Z,14-29,False,16,0.03765011406793207,0.06409891270347458,0.6024018250869131,,False
A2Z,30-59,False,30,0.017264187609299028,0.054119952357173026,0.5179256282789708,6.094459192778952,True
