symbol,ret_m1_14_29,ret_m2_30_59,cum_m2_end_14_59,is_listing_censored
0G,0.3773501324969171,0.4756772707880078,0.8530274032849249,False
1000CAT,0.09643952293037741,0.7190159621883515,0.8154554851187289,False
1000CHEEMS,0.3183982222991979,0.44962253049211254,0.7680207527913104,False
1000SATS,0.1544876442391842,-0.022783062028091404,0.13170458221109277,False
1INCH,0.6962139550979257,-1.1148335552948372,-0.4186196001969116,True
1MBABYDOGE,-0.06343198088461581,-0.23986003807494632,-0.30329201895956215,False
2Z,-0.1052825054821161,-0.30334783972749635,-0.40863034520961244,False
A,0.15132378497267418,-0.2311256636534121,-0.07980187868073792,False
A2Z,0.6024018250869131,0.5179256282789708,1.120327453365884,False
AAVE,0.6835439407697695,0.4789225132856613,1.1624664540554308,True
ACE,-0.025244638892890567,0.3198697767817758,0.2946251378888852,False
ACH,0.279030943556338,0.2522516409428094,0.5312825844991474,False
ACT,0.34583720786610783,-0.16018330120395172,0.18565390666215612,False
ACX,-0.3058128473834085,-0.24200025523396637,-0.5478131026173749,False
ADA,0.2780385658045432,-0.29278948723521175,-0.014750921430668534,True
AEVO,-0.6078063743317572,0.06199644055673792,-0.5458099337750193,False
AGLD,0.06045331459708411,0.40134317277087794,0.46179648736796197,False
AI,0.3132740281654831,-0.4314310140918459,-0.11815698592636284,False
AIXBT,-0.511607166157979,0.31100956203061797,-0.200597604127361,False
ALGO,0.5754640153848066,0.03412657134017469,0.6095905867249813,True
ALICE,0.2724412179383432,0.375803476959491,0.6482446948978342,False
ALLO,-0.17850734808664848,-0.2066628861524658,-0.3851702342391143,False
ALPINE,0.2570023101512351,-0.08673729612652879,0.17026501402470628,False
ALT,-0.31663413472854807,-0.2579780364373535,-0.5746121711659016,False
ANIME,-0.0529316959902335,-0.33695901755382573,-0.38989071354405924,False
ANKR,0.38652442659133324,0.94266198967415,1.3291864162654832,False
APE,0.3404624892369364,-0.8480477049429483,-0.507585215706012,False
API3,0.10720367498699798,-0.6764859877440915,-0.5692823127570936,False
APT,0.507783019996323,-0.36411000114820075,0.14367301884812228,False
AR,-0.05043605361892389,0.4885741866840511,0.4381381330651272,False
ARB,0.050257870908609004,-0.10390373955939358,-0.0536458686507846,False
ARK,0.0870151598275799,-1.1721044122230841,-1.0850892523955042,False
ARKM,-0.0017795743564812845,-0.0687027574502121,-0.0704823318066934,False
ARPA,0.3410546630296708,-0.05603462337671171,0.2850200396529591,False
ASR,-0.07543644077169231,-0.2522981768663503,-0.3277346176380426,False
ASTER,-0.35897738198500695,-0.1959607549882989,-0.5549381369733057,False
ASTR,0.37448198751738654,0.03682563561847321,0.4113076231358597,False
AT,0.5517813372162859,-0.217975618908584,0.3338057183077019,False
ATA,-0.03523704385423265,0.1019200727212888,0.06668302886705615,False
ATOM,0.832153849304405,0.10425732886838482,0.9364111781727897,True
AUCTION,0.12765197629100408,0.1021024049957448,0.2297543812867489,False
AVA,0.100980398698809,-0.0708101477445746,0.030170250954234396,False
AVAX,0.6631731631707213,0.07213545719641731,0.7353086203671385,True
AVNT,0.7152214020776009,-0.1402740910753148,0.574947311002286,False
AWE,-0.16662709706092,-0.2560083342390324,-0.42263543129995235,False
AXL,0.239734918146793,0.5334396697645994,0.7731745879113925,False
AXS,0.5196992247538704,0.7910921457720819,1.3107913705259522,True
BABY,-0.1188564931570268,-0.15747966801086902,-0.27633616116789583,False
BANANA,0.10239472249465441,0.518821250725085,0.6212159732197394,False
BANANAS31,0.1535994187292013,-0.051574663362118786,0.10202475536708253,False
BAND,0.1360488655670389,-0.8038750927515632,-0.6678262271845243,True
BANK,0.15142197989123368,0.3584324208819434,0.5098544007731771,False
BARD,0.429901385763434,0.051400957538126596,0.4813023433015606,False
BAT,-0.10999984155239431,0.12714681562681726,0.017146974074422974,True
BB,-0.09511901915255899,0.10482991689063834,0.009710897738079302,False
BCH,0.05365936953246709,-0.075183368695444,-0.02152399916297691,True
BEAMX,-0.3779629780139438,-0.2057500376015552,-0.5837130156154989,False
BEL,-0.23328011523633385,0.035425469912475846,-0.197854645323858,True
BERA,-0.38068802629166637,-0.6376449277554462,-1.0183329540471127,False
BICO,-0.04007507922008739,-0.027688218368117815,-0.06776329758820519,False
BIGTIME,0.0930685320780694,-0.03014027380191238,0.06292825827615703,False
BIO,0.48013229015219816,0.6928911680951373,1.1730234582473356,False
BLUR,0.1651975934709948,-0.42617047893556104,-0.2609728854645662,False
BMT,-0.009030043165173918,0.4584412408553985,0.4494111976902246,False
BNB,-0.0333867492252229,0.07209468279477105,0.038707933569548165,True
BNT,0.0533779576767295,-0.2510604204336353,-0.19768246275690582,False
BOME,-0.08525778139877499,0.013218648929833016,-0.07203913246894197,False
BROCCOLI714,0.3476455020540734,0.8973217074646446,1.2449672095187179,False
BTC,-0.2995530754491041,-0.2021838140528015,-0.5017368895019056,True
C,-0.021059712425904306,0.013193408340301097,-0.007866304085603196,False
C98,0.35099429721230835,0.3468966869411283,0.6978909841534366,False
CAKE,0.15235589669368133,-0.4595090556285184,-0.3071531589348371,False
CATI,-0.3158295300126644,-1.2682151628046412,-1.5840446928173058,False
CELO,0.009702547257559719,0.26088077520715636,0.2705833224647161,False
CELR,-0.15931313926877982,1.2956598136877153,1.1363466744189354,False
CETUS,0.002137202388899237,0.1366060526547817,0.1387432550436809,False
CFX,0.2803947821575742,0.5447081650426887,0.8251029472002629,False
CGPT,0.0314500150151476,0.6189104518164847,0.6503604668316323,False
CHR,-0.4508986064558411,-0.039107705883379,-0.49000631233922015,False
CHZ,0.4862030575626579,-0.3579328359023228,0.1282702216603351,False
CKB,0.1564552138175832,0.49570347385845287,0.6521586876760361,False
COMP,0.8829193408670808,-0.1241202458553345,0.7587990950117462,True
COOKIE,-0.32772738945069746,-0.7624350862816782,-1.0901624757323758,False
