sample_set,symbol,early,late,diff
S_all,0G,-0.5974255016005501,-1.154098492931253,0.5566729913307029
S_all,1000CAT,2.5578316798268035,-1.652619451138848,4.210451130965652
S_all,1000CHEEMS,0.18863682774726942,-1.9070768280077721,2.0957136557550413
S_all,1000SATS,2.2837357713061497,4.354303762302976,-2.0705679909968264
S_all,1INCH,-3.5685227227883503,3.581833590321035,-7.150356313109386
S_all,1MBABYDOGE,1.2443580943665342,0.2664167080884471,0.9779413862780871
S_all,2Z,-2.3207994191689525,-1.4452497502752055,-0.875549668893747
S_all,A,-2.2241493924550193,0.02850313827162565,-2.252652530726645
S_all,A2Z,4.49851230175894,-4.458230910461323,8.956743212220264
S_all,AAVE,2.4449192939108277,3.4852242086599374,-1.0403049147491097
S_all,ACE,0.8224987308940307,3.573560869508914,-2.7510621386148832
S_all,ACH,1.9007747154424557,3.925349774777801,-2.024575059335345
S_all,ACT,-1.3128760625756308,-2.4906593061765943,1.1777832436009634
S_all,ACX,-0.6743438191388031,1.6708077260336878,-2.3451515451724907
S_all,ADA,0.7209386116835635,4.208174902084964,-3.4872362904014
S_all,AEVO,-0.8072603508126827,-1.880750697216376,1.0734903464036933
S_all,AGLD,0.7650068858259996,0.7494067357650966,0.015600150060902984
S_all,AI,0.018499021096974433,1.5875643617625155,-1.569065340665541
S_all,AIXBT,-1.14225102837602,-1.483287430993665,0.3410364026176449
S_all,ALGO,-1.0306620594674674,1.5881543192846366,-2.618816378752104
S_all,ALICE,2.2354661522549066,1.194596498405081,1.0408696538498257
S_all,ALPINE,1.13900631470195,1.0138879185491412,0.12511839615280884
S_all,ALT,-2.1023874975704056,-0.7235161550648764,-1.378871342505529
S_all,ANIME,-3.2548923088052937,0.47013658218929955,-3.7250288909945932
S_all,ANKR,-1.1229142557670404,-0.32381721688959575,-0.7990970388774447
S_all,APE,-1.4452686266009418,0.7324920628691645,-2.177760689470106
S_all,API3,-4.8017337016289625,4.420270964381469,-9.222004666010431
S_all,APT,-5.72778445047013,-5.5164242485172394,-0.21136020195289085
S_all,AR,-0.8434956314071798,1.7652528806369714,-2.6087485120441514
S_all,ARB,0.28078838460341415,-0.3685547386970086,0.6493431233004228
S_all,ARK,-4.589624629672069,0.626230775481219,-5.215855405153288
S_all,ARKM,-1.0838982299763358,-1.2236141369638014,0.1397159069874656
S_all,ARPA,1.3690817127604864,2.1295963792191808,-0.7605146664586944
S_all,ASR,-1.351195345110271,0.7507255725776478,-2.1019209176879188
S_all,ASTER,0.8177613901083814,5.502467256065953,-4.6847058659575715
S_all,ASTR,1.287934568195763,-1.9230303845306338,3.210964952726397
S_all,ATA,1.069875636959034,4.712929970879665,-3.6430543339206305
S_all,ATOM,0.7837969019542317,4.362355720636675,-3.578558818682443
S_all,AUCTION,-0.8796775846194227,0.6053894816420367,-1.4850670662614593
