timestamp,binance_open,premium_pct,funding_rate,fr_lagged,signal,position,funding_ret,strategy_ret,equity
2024-01-01 00:00:00+00:00,42314.0,-0.0011961367887349805,0.00037409,,0.0,0.0,-0.0,0.0,1.0
2024-01-01 01:00:00+00:00,42503.5,-0.0012478926277730285,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 02:00:00+00:00,42647.9,-0.0011515612242025686,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 03:00:00+00:00,42620.5,-0.001054760702198343,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 04:00:00+00:00,42369.8,-0.001103528557895861,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 05:00:00+00:00,42436.6,-0.0009729706713095254,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 06:00:00+00:00,42272.6,-0.0005280117294034214,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 07:00:00+00:00,42423.4,-0.000717426576057556,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 08:00:00+00:00,42527.1,-0.0008335642267106591,0.00027213,0.00037409,0.0,0.0,-0.0,0.0,1.0
2024-01-01 09:00:00+00:00,42588.2,-0.0008861809186484493,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 10:00:00+00:00,42688.8,-0.0009174376341342105,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 11:00:00+00:00,42727.7,-0.0008799932596260662,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 12:00:00+00:00,42727.7,-0.0008005716695561604,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 13:00:00+00:00,42682.0,-0.0008892755982495837,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 14:00:00+00:00,42753.8,-0.0002441049017951613,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 15:00:00+00:00,42645.5,-0.0004827409033583141,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 16:00:00+00:00,42818.0,-0.00040575588696833975,0.00033601,0.00027213,0.0,0.0,-0.0,-0.0,1.0
2024-01-01 17:00:00+00:00,42759.7,-0.00031134035054958265,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 18:00:00+00:00,42847.0,-0.0006276073050894837,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 19:00:00+00:00,43148.0,-0.00019721646975623397,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 20:00:00+00:00,43556.2,-0.0011820822657948593,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 21:00:00+00:00,43753.2,-0.0010895196406577323,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 22:00:00+00:00,43679.7,-0.0008682105089266035,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 23:00:00+00:00,43584.0,-0.0002129766539603617,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-02 00:00:00+00:00,44230.3,-0.0019174498337753976,0.00065846,0.00033601,0.0,0.0,-0.0,0.0,1.0
2024-01-02 01:00:00+00:00,45179.7,-0.0007060452340833523,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 02:00:00+00:00,44926.5,0.0014379128137382846,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 03:00:00+00:00,45420.0,0.0008577088147903034,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 04:00:00+00:00,45434.9,0.00015770254159885866,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 05:00:00+00:00,45211.5,-4.1576179502844646e-05,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 06:00:00+00:00,45218.2,0.00012477075585848318,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 07:00:00+00:00,45202.9,0.0002008989900099678,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 08:00:00+00:00,45495.6,-0.0001905414607742406,0.00035179,0.00065846,0.0,0.0,-0.0,0.0,1.0
