timestamp,binance_open,coinbase_premium,signal,position,strategy_ret,equity
2024-01-01 00:00:00+00:00,42314.0,-50.83999999999651,-1.0,0.0,0.0,1.0
2024-01-01 01:00:00+00:00,42503.5,-53.220000000001164,-1.0,-1.0,-0.0038858642512293313,0.9961141357487707
2024-01-01 02:00:00+00:00,42647.9,-49.080000000001746,-1.0,-1.0,0.0006428831196256812,0.9967545207118641
2024-01-01 03:00:00+00:00,42620.5,-44.69000000000233,-1.0,-1.0,0.0059169502806244445,1.002652267652904
2024-01-01 04:00:00+00:00,42369.8,-46.830000000001746,-1.0,-1.0,-0.0015741129119674069,1.0010739797721782
2024-01-01 05:00:00+00:00,42436.6,-41.12999999999738,-1.0,-1.0,0.003879581572933777,1.0049577279372457
2024-01-01 06:00:00+00:00,42272.6,-22.400000000001455,-1.0,-1.0,-0.00355464201360578,1.0013854629756223
2024-01-01 07:00:00+00:00,42423.4,-30.510000000002037,-1.0,-1.0,-0.002438445132632916,0.99894363946754
2024-01-01 08:00:00+00:00,42527.1,-35.5,-1.0,-1.0,-0.001434669697239932,0.9975104852987453
2024-01-01 09:00:00+00:00,42588.2,-37.830000000001746,-1.0,-1.0,-0.00235659001892774,0.9951597620453145
2024-01-01 10:00:00+00:00,42688.8,-39.19999999999709,-1.0,-1.0,-0.0009104164277504712,0.9942537522497122
2024-01-01 11:00:00+00:00,42727.7,-37.599999999998545,-1.0,-1.0,0.0,0.9942537522497122
2024-01-01 12:00:00+00:00,42727.7,-34.169999999998254,-1.0,-1.0,0.0010707089639658829,0.9953183086547027
2024-01-01 13:00:00+00:00,42682.0,-38.020000000004075,-1.0,-1.0,-0.0016793828852641468,0.993646788121758
2024-01-01 14:00:00+00:00,42753.8,-10.409999999996217,-1.0,-1.0,0.0025395411004678348,0.9961701949795411
2024-01-01 15:00:00+00:00,42645.5,-20.669999999998254,-1.0,-1.0,-0.004028679527301682,0.9921569445093189
2024-01-01 16:00:00+00:00,42818.0,-17.349999999998545,-1.0,-1.0,0.0013634333262395604,0.9935096843523229
2024-01-01 17:00:00+00:00,42759.7,-13.339999999996508,-1.0,-1.0,-0.002037482204121588,0.9914854260508326
2024-01-01 18:00:00+00:00,42847.0,-27.080000000001746,-1.0,-1.0,-0.00697598961713175,0.9845688340131645
2024-01-01 19:00:00+00:00,43148.0,-8.589999999996508,-1.0,-1.0,-0.009371800111120598,0.9753416517051541
2024-01-01 20:00:00+00:00,43556.2,-51.720000000001164,-1.0,-1.0,-0.004502527815108293,0.970950148789118
2024-01-01 21:00:00+00:00,43753.2,-47.59000000000378,-1.0,-1.0,0.0016827038647242443,0.97258397035694
2024-01-01 22:00:00+00:00,43679.7,-37.84000000000378,-1.0,-1.0,0.002195759911894246,0.9747195312500007
2024-01-01 23:00:00+00:00,43584.0,-9.419999999998254,-1.0,-1.0,-0.014612155015905404,0.960476778362345
2024-01-02 00:00:00+00:00,44230.3,-86.63000000000466,-1.0,-1.0,-0.02101386242051173,0.9402934514837423
2024-01-02 01:00:00+00:00,45179.7,-31.720000000001164,-1.0,-1.0,0.005635871924142721,0.9455928249474148
2024-01-02 02:00:00+00:00,44926.5,65.30999999999767,1.0,-1.0,-0.010865257595772726,0.9353187153236467
2024-01-02 03:00:00+00:00,45420.0,38.970000000001164,1.0,1.0,-0.0006719506825186841,0.9346902272745126
2024-01-02 04:00:00+00:00,45434.9,7.130000000004657,1.0,1.0,-0.004916925095026059,0.9300944254399509
2024-01-02 05:00:00+00:00,45211.5,-1.8799999999973807,-1.0,1.0,0.0001481923846808897,0.9302322583508352
2024-01-02 06:00:00+00:00,45218.2,5.639999999999418,1.0,-1.0,-0.0006615261410219944,0.9296168853947142
2024-01-02 07:00:00+00:00,45202.9,9.139999999999418,1.0,1.0,0.005475248269469436,0.9347067686377413
2024-01-02 08:00:00+00:00,45495.6,-8.730000000003201,-1.0,1.0,0.007060023386877168,0.9413058202841961
2024-01-02 09:00:00+00:00,45816.8,-19.010000000002037,-1.0,-1.0,0.0008980975289744073,0.9421512047154026
2024-01-02 10:00:00+00:00,45730.0,-34.31999999999971,-1.0,-1.0,0.001627398112393541,0.9436844598075458
2024-01-02 11:00:00+00:00,45655.7,1.0299999999988358,1.0,-1.0,0.003713165138018004,0.9471885160449925
2024-01-02 12:00:00+00:00,45486.8,-15.799999999995634,-1.0,1.0,-0.003895345462859633,0.9434988895565439
2024-01-02 13:00:00+00:00,45355.1,4.75,1.0,-1.0,-0.008247265038457963,0.9357176041508803
2024-01-02 14:00:00+00:00,45686.2,7.200000000004366,1.0,1.0,-0.009595593417705994,0.9267388384676586
2024-01-02 15:00:00+00:00,45293.5,21.25,1.0,1.0,-0.0017331405168512504,0.9251326698381707
2024-01-02 16:00:00+00:00,45215.0,2.0800000000017462,1.0,1.0,0.003945593276567516,0.9287828670802171
2024-01-02 17:00:00+00:00,45393.4,-3.25,-1.0,1.0,-0.00863781959491905,0.9207602082315265
2024-01-02 18:00:00+00:00,45001.3,-16.459999999999127,-1.0,-1.0,-0.005151461974068793,0.9160169470315861
2024-01-02 19:00:00+00:00,45188.9,-17.44999999999709,-1.0,-1.0,0.0025647112592155352,0.9183662660092703
2024-01-02 20:00:00+00:00,45073.3,-23.239999999997963,-1.0,-1.0,0.005537076325540902,0.9234513301189656
2024-01-02 21:00:00+00:00,44825.1,-26.459999999999127,-1.0,-1.0,-0.007303747766023161,0.9167066745295781
2024-01-02 22:00:00+00:00,45154.9,-5.959999999999127,-1.0,-1.0,0.0032928430655880803,0.9197252457459811
2024-01-02 23:00:00+00:00,45006.7,-7.0,-1.0,-1.0,0.0006002707888226322,0.9202773299447452
2024-01-03 00:00:00+00:00,44979.7,-11.599999999998545,-1.0,-1.0,-0.004168880623450333,0.916440803615738
2024-01-03 01:00:00+00:00,45168.0,-6.680000000000291,-1.0,-1.0,-0.0039649111974562334,0.9128071972116761
2024-01-03 02:00:00+00:00,45347.8,-12.930000000000291,-1.0,-1.0,0.0007768258718325871,0.9135162894584652
2024-01-03 03:00:00+00:00,45312.6,-10.85000000000582,-1.0,-1.0,0.0003267266842981176,0.9138147596067723
2024-01-03 04:00:00+00:00,45297.8,-15.720000000001164,-1.0,-1.0,0.0017470609569472106,0.9154112496951634
2024-01-03 05:00:00+00:00,45218.8,-15.459999999999127,-1.0,-1.0,0.0004159292035399442,0.9157919959671607
2024-01-03 06:00:00+00:00,45200.0,-18.68000000000029,-1.0,-1.0,-0.003588843722168944,0.9125053616116213
2024-01-03 07:00:00+00:00,45362.8,-2.970000000001164,-1.0,-1.0,0.0073794428220872454,0.9192391427524823
2024-01-03 08:00:00+00:00,45030.5,-4.8399999999965075,-1.0,-1.0,-0.00428090332367026,0.9153039688510254
