timestamp,binance_open,funding_rate,fr_lagged,signal,position,funding_ret,strategy_ret,equity
2024-01-01 00:00:00+00:00,42314.0,0.00037409,,0.0,0.0,-0.0,0.0,1.0
2024-01-01 01:00:00+00:00,42503.5,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 02:00:00+00:00,42647.9,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 03:00:00+00:00,42620.5,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 04:00:00+00:00,42369.8,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 05:00:00+00:00,42436.6,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 06:00:00+00:00,42272.6,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 07:00:00+00:00,42423.4,0.00037409,0.00037409,0.0,0.0,0.0,0.0,1.0
2024-01-01 08:00:00+00:00,42527.1,0.00027213,0.00037409,0.0,0.0,-0.0,0.0,1.0
2024-01-01 09:00:00+00:00,42588.2,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 10:00:00+00:00,42688.8,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 11:00:00+00:00,42727.7,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 12:00:00+00:00,42727.7,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 13:00:00+00:00,42682.0,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 14:00:00+00:00,42753.8,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 15:00:00+00:00,42645.5,0.00027213,0.00027213,0.0,0.0,0.0,0.0,1.0
2024-01-01 16:00:00+00:00,42818.0,0.00033601,0.00027213,0.0,0.0,-0.0,-0.0,1.0
2024-01-01 17:00:00+00:00,42759.7,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 18:00:00+00:00,42847.0,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 19:00:00+00:00,43148.0,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 20:00:00+00:00,43556.2,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 21:00:00+00:00,43753.2,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 22:00:00+00:00,43679.7,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-01 23:00:00+00:00,43584.0,0.00033601,0.00033601,0.0,0.0,0.0,0.0,1.0
2024-01-02 00:00:00+00:00,44230.3,0.00065846,0.00033601,0.0,0.0,-0.0,0.0,1.0
2024-01-02 01:00:00+00:00,45179.7,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 02:00:00+00:00,44926.5,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 03:00:00+00:00,45420.0,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 04:00:00+00:00,45434.9,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 05:00:00+00:00,45211.5,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 06:00:00+00:00,45218.2,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 07:00:00+00:00,45202.9,0.00065846,0.00065846,0.0,0.0,0.0,0.0,1.0
2024-01-02 08:00:00+00:00,45495.6,0.00035179,0.00065846,0.0,0.0,-0.0,0.0,1.0
2024-01-02 09:00:00+00:00,45816.8,0.00035179,0.00035179,0.0,0.0,0.0,0.0,1.0
2024-01-02 10:00:00+00:00,45730.0,0.00035179,0.00035179,0.0,0.0,0.0,0.0,1.0
2024-01-02 11:00:00+00:00,45655.7,0.00035179,0.00035179,0.0,0.0,0.0,0.0,1.0
