feature,bucket,n,total_bps,mean_bps,median_bps,win_rate,worst_bps,avg_idio_ret_pct,avg_close_location,avg_volume_z60
risk_idio_gt10,False,1830,65653.34343378691,35.876143952889024,30.52270736858483,0.5295081967213114,-6500.775819582245,3.4277586104228877,0.6268236517672591,0.4819008543554415
risk_idio_gt10,True,332,41988.238539886006,126.47059801170484,199.23566880315957,0.608433734939759,-7158.081812284034,20.02972052438692,0.7439666698588799,2.5753609610975006
risk_close_hi80,False,1458,84505.16345854035,57.959645719163476,54.486147173415006,0.5432098765432098,-7158.081812284034,5.0833010634360285,0.5254405858112411,0.9075572887373178
risk_close_hi80,True,704,23136.418515132573,32.86423084535877,41.70173996211173,0.5383522727272727,-5926.554038175728,7.8284268759667786,0.8920338679182422,0.5876134596247425
risk_volz_gt2,False,1782,63695.64333970651,35.74390759803957,33.86446243237046,0.5308641975308642,-6500.775819582245,4.271770893454353,0.653867919119645,0.25529357172753225
risk_volz_gt2,True,380,43945.9386339664,115.64720693149052,127.78208088004173,0.5921052631578947,-7158.081812284034,13.97465720798601,0.6023462769895389,3.3735927835167523
pump_risk_score,0,1101,43941.914374825305,39.910912238715085,34.76095040504024,0.5313351498637602,-6500.775819582245,2.7547016069973194,0.5200682100300764,0.24031957334667176
pump_risk_score,1,769,30223.281814398313,39.30205697581055,29.405058282208923,0.52925877763329,-5926.554038175728,5.272029044827927,0.772809561812657,0.8078520791587978
pump_risk_score,2,229,21581.843478761242,94.24385798585695,179.23338596491288,0.6026200873362445,-7158.081812284034,17.85758454516058,0.7511174014011883,2.7239222129154674
pump_risk_score,3,63,11894.542305688059,188.8022588204454,235.58255149501545,0.6507936507936508,-5133.688446062566,27.716854056378466,0.8760742845922643,3.607779629672779
